site,date,sp_method,species,bin,count,nms
S Frenchys Cove,3/8/02,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,1/27/03,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,5/20/03,sea_star,PISOCH,NM,1,CINMS
S Frenchys Cove,1/19/04,sea_star,PISOCH,100,1,CINMS
S Frenchys Cove,1/19/04,sea_star,PISOCH,50,1,CINMS
S Frenchys Cove,1/19/04,sea_star,PISOCH,60,1,CINMS
S Frenchys Cove,1/19/04,sea_star,PISOCH,70,1,CINMS
S Frenchys Cove,1/23/05,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,6/24/05,sea_star,PISOCH,NM,1,CINMS
S Frenchys Cove,12/12/05,sea_star,PISOCH,NM,2,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,100,3,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,110,7,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,120,4,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,130,4,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,140,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,150,2,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,160,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,170,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,20,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,30,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,40,2,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,50,4,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,60,1,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,70,2,CINMS
Landing Cove,11/6/06,sea_star,PISOCH,80,5,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,90,8,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,100,1,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,110,2,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,120,1,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,130,1,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,140,1,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,NM,265,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,30,3,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,40,9,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,50,20,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,60,21,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,70,28,CINMS
Landing Cove,10/25/07,sea_star,PISOCH,80,19,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,90,7,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,110,3,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,120,1,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,140,1,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,NM,124,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,30,1,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,40,9,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,50,20,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,60,26,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,70,19,CINMS
Landing Cove,10/17/08,sea_star,PISOCH,80,13,CINMS
Landing Cove,10/19/09,sea_star,PISOCH,NM,381,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,90,28,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,100,20,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,110,14,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,120,7,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,130,5,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,NM,254,CINMS
Landing Cove,10/8/10,sea_star,PISOCH,50,3,CINMS
